"movie_id";"genre_id"
12349;1
12349;2
12349;3
13442;4
13442;5
15864;6
15864;1
15864;2
17136;2
17136;7
21749;1
21749;2
21749;8
22100;9
22100;10
22100;11
25316;1
25316;8
27977;1
27977;2
27977;8
29583;6
29583;12
29583;3
31381;2
31381;8
31381;13
31679;1
31679;2
32138;6
32138;3
32138;4
32553;1
32553;2
32553;13
32910;6
32910;12
32910;1
32976;2
32976;14
32976;10
33467;2
33467;10
33563;6
33563;12
33563;2
33870;9
33870;14
33870;10
34492;6
34492;12
34492;2
34583;2
34583;8
34583;13
36775;9
36775;2
36775;14
38650;2
38650;3
38650;4
38787;2
38787;14
38787;8
40522;2
40746;9
40746;2
40746;10
40897;6
40897;2
40897;15
41959;14
41959;10
41959;11
42192;2
42332;12
42332;3
42332;4
42876;9
42876;2
42876;10
43014;2
43014;14
43274;6
43274;12
43274;1
44079;9
44079;2
44079;14
44081;2
44706;2
44706;11
44706;15
45152;1
45152;16
45152;8
46183;6
46183;12
46183;3
46250;1
46250;8
46912;9
46912;11
47296;9
47296;2
47296;11
47396;10
47396;11
47478;17
47478;2
48280;6
48280;12
48280;1
50083;9
50083;2
50212;6
50212;2
50212;13
50825;2
50825;13
50976;2
50976;4
50986;2
50986;8
51201;9
51201;2
51201;10
52311;9
52311;2
52311;14
52357;10
52357;8
52357;11
52618;6
52618;2
53125;17
53125;6
53125;10
53198;9
53198;2
53285;6
53285;12
53285;3
53291;1
53291;18
53291;8
53604;1
53604;2
53604;8
54215;5
54215;10
54215;11
54331;6
54331;19
54331;2
54698;1
54698;2
54698;8
55254;6
55254;12
55254;1
55614;9
55614;2
55614;16
55630;17
55630;2
55630;11
55928;17
55928;6
55928;11
56172;6
56172;19
56172;2
56193;9
56193;2
56193;8
56592;9
56592;2
56801;2
56869;2
56869;5
56869;10
57012;1
57012;13
57076;17
57076;6
57076;11
57115;6
57115;2
57115;20
57546;6
57546;12
57546;1
58150;17
58150;6
58150;11
58331;1
58331;3
58331;4
58461;17
58461;2
58461;15
59578;2
59578;15
59742;19
59742;2
59742;3
59800;17
59800;6
59800;11
60196;6
60196;15
60827;2
60827;11
61418;17
61418;19
61418;9
61512;9
61512;2
61722;1
61722;2
61722;8
61852;6
61852;12
61852;1
62512;17
62512;6
62512;11
62622;6
62622;7
63350;5
63350;11
63442;6
63442;7
63522;2
63522;5
64115;19
64115;9
64115;2
64116;15
64276;6
64276;2
64665;2
65421;6
65421;12
65421;1
66206;19
66206;2
66206;13
66921;9
66921;7
66995;17
66995;6
66995;11
66999;17
66999;9
66999;11
67116;17
67116;9
67116;2
67992;3
67992;4
67992;16
68473;6
68473;2
68473;11
68646;9
68646;2
70034;17
70034;9
70034;2
70047;5
70328;17
70328;6
70328;11
70379;9
70379;2
70379;11
70511;19
70511;9
70511;2
70608;6
70608;12
70608;1
70666;19
70666;9
70666;2
70735;1
70735;9
70735;2
71230;1
71230;15
71315;2
71315;10
71315;11
71360;2
71360;10
71360;11
71562;9
71562;2
71807;17
71807;6
71807;11
71853;6
71853;1
71853;4
72271;5
72431;1
72684;6
72684;2
72684;13
72890;19
72890;9
72890;2
73195;6
73195;10
73195;11
73486;2
73629;1
73629;5
73629;16
74119;2
74119;20
74119;11
74285;5
74285;10
74486;4
74486;5
74958;2
75005;5
75005;10
75148;2
75148;21
75314;9
75314;2
75686;1
75686;8
75860;2
75860;7
76752;17
76752;6
76752;11
76759;17
76759;6
76759;4
77402;5
77402;11
77416;2
77416;13
77631;1
77631;16
77631;8
77651;5
77651;11
77975;1
78346;17
78346;6
78346;7
78748;5
78748;7
78788;2
78788;10
78788;13
79116;17
79116;19
79116;9
79417;2
79470;1
79501;17
79501;6
79501;7
79522;1
79522;2
79522;8
79574;17
79574;6
79574;7
79817;2
79817;21
79944;2
79944;7
80120;17
80120;9
80120;11
80339;1
80455;17
80455;6
80455;1
80487;1
80487;21
80678;19
80678;2
80684;17
80684;6
80684;4
80761;5
80761;10
80761;11
81398;19
81398;2
81398;21
81505;2
81505;5
81573;17
81573;6
81573;7
82010;1
82010;5
82096;2
82096;13
82198;17
82198;6
82198;4
82340;17
82340;6
82340;7
82398;17
82398;6
82398;11
82694;17
82694;6
82694;7
82971;17
82971;6
83658;17
83658;2
83658;7
83866;6
83866;3
83866;7
83907;5
83929;1
83929;2
83944;17
83944;6
83944;11
83987;19
83987;2
83987;20
84516;5
84516;11
84602;2
84602;21
84726;17
84726;6
84726;7
84787;5
84787;10
84787;7
84805;1
84805;2
84805;8
84827;17
84827;6
84827;7
85334;1
85334;3
85794;1
85794;9
85794;2
85959;1
85959;16
85995;6
85995;1
86034;17
86034;6
86034;11
86190;17
86190;6
86190;4
86250;9
86250;2
86465;1
86567;17
86567;2
86567;7
86879;19
86879;2
86879;18
86960;17
86960;1
86960;9
87182;17
87182;6
87182;7
87332;17
87332;1
87332;4
87363;1
87363;4
87363;5
87469;17
87469;6
87538;17
87538;2
87538;3
87544;6
87544;12
87544;7
87800;5
87843;9
87843;2
87884;2
87928;1
88128;1
88128;8
88247;17
88247;7
88258;1
88258;18
88323;6
88323;2
88323;3
88763;6
88763;1
88763;7
88846;2
88846;7
88847;1
88847;2
88930;1
88930;9
88930;10
88944;17
88944;6
88944;11
89218;6
89218;1
89218;3
89530;17
89530;6
89530;7
89880;17
89880;6
89880;11
89881;17
89881;2
89881;13
89927;2
89927;21
90264;17
90264;6
90264;11
90555;17
90555;6
90555;1
90605;17
90605;6
90605;7
90728;17
90728;6
90728;1
90756;9
90756;2
90756;10
91042;1
91064;2
91064;5
91064;7
91203;17
91203;6
91203;4
91369;6
91369;3
91369;4
91605;2
91605;10
91605;11
91763;2
91763;13
92005;6
92005;2
92067;6
92067;12
92067;3
92099;17
92099;2
92644;17
92644;1
92644;9
92890;2
92890;18
92890;8
92965;2
92965;13
92991;1
92991;5
93058;2
93058;13
93105;19
93105;1
93105;2
93177;5
93177;11
93389;19
93389;2
93389;20
93409;17
93409;9
93409;11
93428;17
93428;6
93428;11
93437;1
93437;5
93748;1
93748;2
93773;17
93773;6
93773;5
93779;6
93779;1
93779;3
93822;1
93822;9
93870;17
93870;9
93870;7
93894;17
93894;7
93894;11
94012;6
94012;1
94012;7
94226;9
94226;2
94226;11
94291;9
94291;2
94625;17
94625;12
94625;2
94721;1
94721;4
94737;1
94737;2
94737;4
94862;5
94862;11
94898;1
94898;8
95016;17
95016;11
95159;1
95159;9
95327;12
95327;2
95327;13
95647;9
95647;2
95647;10
95705;1
95705;9
95765;2
95765;8
95953;2
95956;17
95956;6
95956;11
96061;1
96061;2
96061;4
96256;17
96256;5
96256;7
96283;12
96283;1
96283;3
96320;1
96320;9
96438;6
96438;12
96438;1
96446;17
96446;6
96446;2
96754;6
96754;2
96754;10
96874;6
96874;1
96874;7
96895;17
96895;6
96928;6
96928;1
96928;18
96969;19
96969;2
96969;13
97165;1
97165;2
97216;1
97216;2
97239;1
97239;2
97239;8
97351;2
97351;3
97351;4
97428;17
97428;1
97428;4
97441;19
97441;2
97441;20
97493;1
97493;9
97523;6
97523;1
97523;3
97576;17
97576;6
97733;17
97733;9
97733;11
97742;17
97742;6
97742;11
97757;6
97757;12
97757;3
97814;12
97814;3
97814;4
97958;1
98084;4
98084;5
98084;11
98439;17
98439;1
98439;9
98554;1
98635;1
98635;2
98635;8
99077;19
99077;2
99088;6
99088;1
99088;7
99348;6
99348;2
99348;15
99423;17
99423;11
99487;2
99487;4
99487;8
99653;2
99653;4
99653;8
99674;9
99674;2
99685;19
99685;9
99685;2
99700;1
99700;4
99700;5
99785;1
99785;3
99810;17
99810;6
99810;11
99871;2
99871;5
99871;10
99938;17
99938;1
99938;9
100150;9
100150;2
100150;11
100157;2
100157;11
100403;17
100403;5
100403;7
100405;1
100405;8
100507;2
100507;21
100802;17
100802;6
100802;7
100814;1
100814;5
101272;1
101272;4
101410;1
101410;2
101410;11
101414;12
101414;3
101414;4
101507;9
101507;2
101540;9
101540;11
102057;6
102057;1
102057;3
102059;17
102059;1
102138;2
102138;20
102138;11
102266;17
102266;1
102266;9
102510;1
102510;9
102685;17
102685;9
102685;11
102798;17
102798;6
102798;2
102926;9
102926;2
102926;11
103064;17
103064;7
103074;6
103074;9
103074;2
103639;6
103639;12
103639;1
103644;17
103644;5
103644;7
103772;2
103772;10
103772;11
103776;17
103776;9
103776;4
103855;17
103855;2
103855;18
103874;2
103874;4
103874;5
104070;1
104070;4
104070;5
104257;2
104257;11
104348;9
104348;2
104348;10
104431;6
104431;1
104431;9
104691;17
104691;6
104691;2
104694;1
104694;2
104694;21
104714;17
104714;9
104714;11
104952;1
104952;9
105112;17
105112;11
105236;9
105236;11
105323;2
105417;1
105417;3
105417;18
105665;2
105665;5
105665;10
105695;2
105695;15
105793;1
105793;18
106220;1
106220;4
106308;1
106308;5
106489;9
106489;2
106519;9
106519;2
106519;11
106582;17
106582;6
106582;11
106611;6
106611;1
106611;3
106677;1
106697;17
106697;7
106697;11
106856;17
106856;9
106856;2
106918;2
106918;10
106918;11
106977;17
106977;9
106977;2
107048;1
107048;2
107048;4
107120;1
107120;3
107120;4
107206;17
107206;9
107206;2
107207;19
107207;9
107207;2
107290;17
107290;6
107290;7
107362;17
107362;6
107362;1
107614;1
107614;2
107688;12
107688;3
107688;4
107818;2
107977;6
107977;1
107977;16
108052;19
108052;2
108052;20
108160;1
108160;2
108160;8
108358;19
108358;2
108358;20
108394;2
108394;18
108394;10
108399;9
108399;2
108399;8
108550;2
109040;1
109444;17
109444;9
109444;2
109445;1
109506;17
109506;9
109506;2
109686;1
109707;19
109707;1
109707;2
109830;2
109830;8
109831;1
109831;2
109831;8
110148;2
110148;4
110148;5
110322;2
110322;8
110322;13
110357;6
110357;12
110357;2
110413;17
110413;9
110413;2
110475;17
110475;1
110475;9
110478;17
110478;6
110478;1
110622;1
110622;9
110632;17
110632;9
110632;2
110912;9
110912;2
111070;1
111070;2
111070;3
111161;2
111257;17
111257;6
111257;11
111282;17
111282;6
111282;7
111495;2
111495;10
111495;8
111503;17
111503;1
111503;11
112281;6
112281;1
112281;9
112384;6
112384;2
112384;20
112431;1
112431;2
112431;3
112442;17
112442;1
112442;9
112461;19
112461;9
112461;2
112462;17
112462;6
112471;2
112471;8
112508;1
112573;19
112573;2
112573;20
112641;9
112641;2
112642;1
112642;3
112642;4
112697;1
112697;8
112740;17
112740;2
112740;11
112851;17
112851;9
112851;11
112864;17
112864;6
112864;11
113101;1
113118;1
113118;2
113189;17
113189;6
113189;11
113247;9
113247;2
113277;17
113277;9
113277;2
113492;17
113492;9
113492;7
113497;6
113497;1
113497;3
113568;17
113568;12
113568;9
113627;2
113627;8
113749;1
113749;8
113855;17
113855;6
113855;4
114069;17
114069;2
114069;11
114148;6
114148;12
114148;2
114369;9
114369;2
114369;10
114388;2
114388;8
114709;6
114709;12
114709;1
114746;10
114746;7
114746;11
114814;9
114814;2
114814;10
114898;17
114898;6
114898;7
114924;1
114924;2
114924;8
115433;6
115433;1
115433;9
115759;17
115759;6
115759;11
115798;1
115798;2
115798;11
116209;2
116209;8
116209;13
116213;17
116213;9
116213;11
116282;9
116282;11
116367;17
116367;9
116367;5
116483;1
116483;21
116583;12
116583;2
116583;3
116629;17
116629;6
116629;7
116695;1
116695;2
116695;8
116705;6
116705;1
116705;3
116922;10
116922;11
116996;1
116996;7
117008;1
117008;3
117008;4
117060;17
117060;6
117060;11
117218;1
117218;8
117218;7
117381;9
117381;2
117381;10
117438;17
117438;9
117438;11
117500;17
117500;6
117500;11
117509;2
117509;8
117571;5
117571;10
117665;9
117665;2
117665;11
117705;6
117705;12
117705;1
117731;17
117731;6
117731;2
117913;9
117913;2
117913;11
117951;2
117998;17
117998;6
117998;11
118571;17
118571;2
118571;11
118583;17
118583;5
118583;7
118615;17
118615;6
118615;5
118617;6
118617;12
118617;2
118655;6
118655;1
118688;17
118688;7
118689;6
118689;1
118689;3
118694;2
118694;8
118715;1
118715;9
118749;2
118799;1
118799;2
118799;8
118842;1
118842;2
118842;8
118880;17
118880;9
118880;11
118883;17
118883;10
118883;11
118884;2
118884;10
118884;7
118929;4
118929;10
118929;7
118971;2
118971;10
118971;11
119008;19
119008;9
119008;2
119081;5
119081;7
119081;11
119094;17
119094;9
119094;7
119116;17
119116;6
119116;7
119164;1
119164;2
119174;2
119174;10
119174;11
119177;2
119177;7
119177;11
119217;2
119217;8
119282;6
119282;12
119282;1
119303;17
119303;1
119303;9
119345;5
119345;10
119395;17
119395;9
119395;2
119396;9
119396;2
119396;11
119488;9
119488;2
119488;10
119528;1
119528;4
119567;17
119567;6
119567;7
119643;2
119643;4
119643;8
119654;17
119654;6
119654;1
119698;17
119698;6
119698;12
119738;1
119738;2
119738;8
119822;1
119822;2
119822;8
120082;5
120082;10
120102;6
120102;19
120102;2
120184;17
120184;10
120184;7
120188;17
120188;6
120188;1
120201;17
120201;6
120201;7
120338;2
120338;8
120347;17
120347;6
120347;11
120363;6
120363;12
120363;1
120382;1
120382;2
120484;1
120484;21
120586;9
120586;2
120587;6
120587;12
120587;1
120591;17
120591;6
120591;7
120601;1
120601;2
120601;4
120611;17
120611;5
120611;7
120616;17
120616;6
120616;4
120623;6
120623;12
120623;1
120630;6
120630;12
120630;1
120632;2
120632;4
120632;8
120647;17
120647;2
120647;7
120655;6
120655;1
120655;2
120657;17
120657;6
120657;20
120660;17
120660;11
120663;2
120663;10
120663;11
120667;17
120667;6
120667;4
120669;6
120669;1
120669;2
120681;5
120681;10
120681;11
120685;17
120685;7
120685;11
120689;9
120689;2
120689;4
120735;17
120735;1
120735;9
120737;17
120737;6
120737;2
120744;17
120744;6
120744;2
120746;17
120746;6
120746;1
120755;17
120755;6
120755;11
120762;6
120762;12
120762;1
120768;17
120768;9
120768;2
120783;6
120783;1
120783;2
120784;17
120784;9
120784;2
120789;1
120789;2
120789;4
120794;6
120794;12
120794;2
120804;17
120804;5
120804;7
120812;17
120812;1
120812;9
120815;2
120815;13
120855;6
120855;12
120855;1
120863;2
120863;20
120863;13
120873;17
120873;9
120873;11
120888;1
120888;18
120888;8
120889;2
120889;4
120889;8
120890;9
120890;2
120890;10
120891;17
120891;1
120891;7
120902;2
120902;10
120902;7
120903;17
120903;6
120903;7
120907;5
120907;10
120907;7
120912;17
120912;6
120912;1
120915;17
120915;6
120915;4
120917;6
120917;12
120917;1
121164;12
121164;2
121164;3
121765;17
121765;6
121765;4
121766;17
121766;6
121766;4
122151;17
122151;9
122151;11
122690;17
122690;9
122690;11
122718;17
122718;6
122718;1
122933;1
122933;9
123755;2
123755;5
123755;10
124315;2
124315;8
125439;1
125439;2
125439;8
125664;19
125664;1
125664;2
126029;6
126029;12
126029;1
127536;19
127536;2
127536;20
128442;9
128442;2
128445;1
128445;2
128445;8
128853;1
128853;2
128853;8
129167;17
129167;6
129167;12
129290;19
129290;1
129290;2
129387;1
129387;8
130827;17
130827;9
130827;11
133093;17
133093;7
133152;17
133152;6
133152;7
133240;6
133240;12
133240;3
133751;5
133751;10
133751;7
134084;5
134084;10
134119;9
134119;2
134119;11
134273;9
134273;2
134273;10
134847;17
134847;5
134847;7
137494;17
137494;9
137494;8
137523;2
138097;1
138097;2
138097;20
138704;2
138704;5
138704;10
138749;6
138749;12
138749;1
139134;2
139134;8
139654;17
139654;9
139654;2
140352;19
140352;2
140352;11
142342;1
142342;2
142688;10
142688;11
143145;17
143145;6
143145;11
144084;9
144084;2
144084;5
144117;17
144117;11
145487;17
145487;6
145487;7
145660;17
145660;6
145660;1
145681;9
145681;2
145681;10
146316;17
146316;6
146316;4
146675;17
146675;4
146675;5
146838;2
146838;21
146882;1
146882;2
146882;18
147800;1
147800;2
147800;8
149261;17
149261;6
149261;7
151804;1
158983;12
158983;1
158983;4
159097;2
159097;8
159273;17
159273;2
159273;11
159365;6
159365;2
159365;8
160127;17
160127;6
160127;1
161081;2
161081;5
161081;10
162222;6
162222;2
162222;8
162346;1
162346;2
162661;4
162661;5
162661;10
163025;17
163025;6
163025;7
163187;1
163187;8
163651;1
163978;6
163978;2
163978;8
164052;17
164052;5
164052;7
164184;17
164184;2
164184;11
164912;6
164912;1
164912;3
166924;2
166924;10
166924;11
167190;17
167190;6
167190;4
167260;17
167260;6
167260;2
167261;17
167261;6
167261;2
167404;2
167404;10
167404;11
168629;9
168629;2
168629;16
169102;2
169102;16
169102;21
169547;2
170016;1
170016;3
170016;4
171804;19
171804;9
171804;2
172156;17
172156;1
172156;9
172493;19
172493;2
172495;17
172495;6
172495;2
175142;1
175880;2
177789;6
177789;1
177789;7
177971;17
177971;6
177971;2
180093;2
181689;17
181689;9
181689;10
181852;17
181852;7
181865;9
181865;2
181865;11
181875;6
181875;1
181875;2
182789;2
182789;7
183505;1
183649;9
183649;11
183790;17
183790;6
183790;8
184894;17
184894;6
184894;1
185431;1
185431;4
185937;5
185937;10
186151;9
186151;2
186151;10
187078;17
187078;9
187078;11
187393;17
187393;2
187393;20
187738;17
187738;5
187738;7
190138;1
190138;9
190332;17
190332;6
190332;2
190590;6
190590;1
190590;9
195685;19
195685;2
195714;5
195714;11
196229;1
198781;6
198781;12
198781;1
200465;9
200465;2
200465;11
200550;1
200550;2
200550;18
203009;2
203009;16
203009;8
203019;19
203019;2
204946;1
204946;8
204946;21
