"person_id";"primary_name";"birth_year";"death_year";"primary_profession";"known_for_titles"
108;"Luc Besson";1959;0;"writer,producer,director";"tt0100263,tt0110413,tt2872732,tt0119116"
110;"Kenneth Branagh";1960;0;"actor,producer,director";"tt0107616,tt3402236,tt0097499,tt0116477"
111;"Matthew Broderick";1962;0;"actor,soundtrack,director";"tt0395251,tt0086567,tt0115798,tt0091042"
112;"Pierce Brosnan";1953;0;"actor,producer,soundtrack";"tt0120347,tt0795421,tt0155267,tt0143145"
113;"Sandra Bullock";1964;0;"producer,actress,soundtrack";"tt0111257,tt1041829,tt1454468,tt0212346"
114;"Steve Buscemi";1957;0;"actor,director,producer";"tt0105236,tt0116282,tt4686844,tt0162346"
115;"Nicolas Cage";1964;0;"actor,producer,soundtrack";"tt0435705,tt0113627,tt0119094,tt0117500"
116;"James Cameron";1954;0;"writer,producer,director";"tt0499549,tt0120338,tt0103064,tt1630029"
117;"Neve Campbell";1973;0;"actress,producer,soundtrack";"tt0120082,tt0134084,tt0120890,tt0117571"
118;"John Carpenter";1948;0;"soundtrack,writer,music_department";"tt0077651,tt0080749,tt0082340,tt0069945"
119;"Tia Carrere";1967;0;"actress,soundtrack,producer";"tt0105793,tt0111503,tt0207919,tt0275847"
120;"Jim Carrey";1962;0;"actor,writer,soundtrack";"tt0110475,tt0109040,tt0338013,tt0315327"
121;"Phoebe Cates";1963;0;"actress,soundtrack";"tt0083929,tt0087363,tt0086143,tt0101775"
122;"Charles Chaplin";1889;1977;"soundtrack,writer,actor";"tt0044837,tt0027977,tt0021749,tt0032553"
123;"George Clooney";1961;0;"actor,producer,director";"tt0465538,tt1124035,tt1193138,tt0433383"
124;"Jennifer Connelly";1970;0;"actress,producer";"tt0315983,tt0180093,tt0102803,tt0268978"
125;"Sean Connery";1930;2020;"actor,producer,soundtrack";"tt0055928,tt0091605,tt0117500,tt0094226"
126;"Kevin Costner";1955;0;"actor,producer,soundtrack";"tt0099348,tt0119925,tt0103855,tt0102798"
